Displacement_0,Displacement_1,Displacement_2,PK1Stress_0,PK1Stress_1,PK1Stress_2,PK1Stress_3,PK1Stress_4,PK1Stress_5,PK1Stress_6,PK1Stress_7,PK1Stress_8
0.0365371,-0.243738,0,465.378,-1.34223,0,-1.34223,22.1693,0,0,0,160.891
0.0397964,-0.256293,0,464.738,-1.89038,0,-1.89038,23.3952,0,0,0,161.084
0.0430649,-0.269463,0,463.085,-2.49424,0,-2.49424,24.7302,0,0,0,160.979
0.0463372,-0.283285,0,460.307,-3.16203,0,-3.16203,26.1895,0,0,0,160.544
0.0496076,-0.297798,0,456.274,-3.90358,0,-3.90358,27.7912,0,0,0,159.741
0.0528694,-0.313044,0,450.832,-4.73075,0,-4.73075,29.5568,0,0,0,158.528
0.0561154,-0.329073,0,443.804,-5.65792,0,-5.65792,31.5122,0,0,0,156.854
0.0593375,-0.345936,0,434.98,-6.70269,0,-6.70269,33.689,0,0,0,154.661
0.0625266,-0.363692,0,424.112,-7.88672,0,-7.88672,36.1256,0,0,0,151.878
0.0656724,-0.382408,0,410.902,-9.23704,0,-9.23704,38.8697,0,0,0,148.425
0.0687632,-0.402159,0,394.991,-10.7875,0,-10.7875,41.9813,0,0,0,144.201
0.0717857,-0.423029,0,375.941,-12.5816,0,-12.5816,45.5362,0,0,0,139.088
0.0747246,-0.445116,0,353.217,-14.6745,0,-14.6745,49.6337,0,0,0,132.941
0.0775621,-0.46853,0,326.14,-17.1429,0,-17.1429,54.4012,0,0,0,125.579
0.0802781,-0.493403,0,293.879,-20.0834,0,-20.0834,60.018,0,0,0,116.786
0.0828479,-0.51989,0,255.264,-23.6517,0,-23.6517,66.7029,0,0,0,106.249
0.0852443,-0.548174,0,208.986,-28.0339,0,-28.0339,74.8262,0,0,0,93.658
0.08743,-0.578479,0,152.685,-33.6788,0,-33.6788,84.7617,0,0,0,78.3575
0.0893713,-0.611084,0,84.1245,-40.947,0,-40.947,97.3261,0,0,0,59.8787
0.0909926,-0.646338,0,-3.40762,-51.5325,0,-51.5325,112.76,0,0,0,36.0864
0.0922654,-0.684709,0,-110.14,-66.3193,0,-66.3193,133.912,0,0,0,7.84496
0.09294,-0.726775,0,-267.02,-94.4286,0,-94.4286,156.394,0,0,0,-36.5064
0.0931754,-0.773407,0,-463.379,-131.438,0,-131.438,189.246,0,0,0,-90.4639
0.0914556,-0.825676,0,-821.216,-235.102,0,-235.102,203.608,0,0,0,-203.81
0.0894447,-0.885089,0,-1152.57,-346.429,0,-346.429,283.21,0,0,0,-286.89
0.0784115,-0.951929,0,-2546.02,-900.258,0,-900.258,-98.4371,0,0,0,-872.67
0.0735757,-1.02639,0,-2511.46,-1201.42,0,-1201.42,6.63782,0,0,0,-826.593
-0.016321,-1.14376,0,-3974.27,-4066.7,0,-4066.7,-5160.71,0,0,0,-3014.54
0.045787,-1.24437,0,-4487.08,-992.119,0,-992.119,-8550.29,0,0,0,-4302.33
0.0303095,-1.28051,0,-4230.87,-735.942,0,-735.942,-5243.6,0,0,0,-3126.57
0.031943,-1.31714,0,-3400.98,-1018.13,0,-1018.13,-1760.14,0,0,0,-1703.17
-0.0947135,-1.37121,0,107,-6379.41,0,-6379.41,1669.25,0,0,0,586.162
0.0218687,-1.5657,0,-5488.71,-2272.27,0,-2272.27,-14135,0,0,0,-6475.82
0.0162084,-1.63736,0,-5253.35,-1517.39,0,-1517.39,-14835.6,0,0,0,-6629.36
0.0130099,-1.66658,0,-6290.12,-335.177,0,-335.177,-13836.1,0,0,0,-6641.65
0.000788587,-1.67729,0,-6129.17,0.105849,0,0.105849,-13298.3,0,0,0,-6411.08
-0.0114331,-1.66658,0,-6290.03,335.335,0,335.335,-13835.9,0,0,0,-6641.56
-0.0146313,-1.63737,0,-5253.12,1517.58,0,1517.58,-14835.2,0,0,0,-6629.15
-0.0202921,-1.56572,0,-5489.14,2272.54,0,2272.54,-14136,0,0,0,-6476.28
0.096292,-1.37122,0,107.237,6379.82,0,6379.82,1669.86,0,0,0,586.443
-0.0303655,-1.31715,0,-3400.46,1018.49,0,1018.49,-1758.67,0,0,0,-1702.51
-0.0287329,-1.28053,0,-4230.57,736,0,736,-5241.86,0,0,0,-3125.9
-0.0442087,-1.2444,0,-4486.37,992.011,0,992.011,-8547.88,0,0,0,-4301.3
0.0178736,-1.14383,0,-3974.64,4065.59,0,4065.59,-5161.37,0,0,0,-3014.88
-0.0719987,-1.02647,0,-2511.06,1201.25,0,1201.25,6.71592,0,0,0,-826.434
-0.0768351,-0.952027,0,-2545.53,900.153,0,900.153,-98.3391,0,0,0,-872.476
-0.0878661,-0.885203,0,-1152.42,346.38,0,346.38,283.194,0,0,0,-286.845
-0.0898764,-0.825807,0,-821.079,235.067,0,235.067,203.599,0,0,0,-203.768
