Displacement_0,Displacement_1,Displacement_2,PK1Stress_0,PK1Stress_1,PK1Stress_2,PK1Stress_3,PK1Stress_4,PK1Stress_5,PK1Stress_6,PK1Stress_7,PK1Stress_8
0.0365727,-0.286781,0,491.03,-2.91891,0,-2.91891,25.9097,0,0,0,170.59
0.0400365,-0.301411,0,487.539,-3.66668,0,-3.66668,27.3811,0,0,0,169.924
0.0434935,-0.316763,0,482.641,-4.495,0,-4.495,28.9886,0,0,0,168.838
0.0469359,-0.332881,0,476.171,-5.41642,0,-5.41642,30.752,0,0,0,167.285
0.0503553,-0.349814,0,467.936,-6.44608,0,-6.44608,32.6947,0,0,0,165.208
0.0537423,-0.367613,0,457.712,-7.60232,0,-7.60232,34.8449,0,0,0,162.544
0.0570863,-0.386338,0,445.233,-8.90765,0,-8.90765,37.2368,0,0,0,159.215
0.0603753,-0.406053,0,430.184,-10.3898,0,-10.3898,39.9123,0,0,0,155.132
0.0635958,-0.426831,0,412.188,-12.0833,0,-12.0833,42.923,0,0,0,150.187
0.0667323,-0.448756,0,390.791,-14.0314,0,-14.0314,46.3343,0,0,0,144.251
0.0697672,-0.47192,0,365.437,-16.2903,0,-16.2903,50.228,0,0,0,137.169
0.0726801,-0.49643,0,335.447,-18.9305,0,-18.9305,54.7121,0,0,0,128.753
0.0754474,-0.52241,0,299.96,-22.0505,0,-22.0505,59.924,0,0,0,118.762
0.0780417,-0.550004,0,257.925,-25.7745,0,-25.7745,66.0594,0,0,0,106.915
0.08043,-0.579382,0,207.86,-30.3038,0,-30.3038,73.3527,0,0,0,92.8002
0.082575,-0.610746,0,148.092,-35.8742,0,-35.8742,82.2071,0,0,0,75.9988
0.0844256,-0.644343,0,75.6343,-43.0557,0,-43.0557,93.0066,0,0,0,55.6515
0.085934,-0.68048,0,-12.1874,-52.323,0,-52.323,106.697,0,0,0,31.1881
0.086998,-0.719541,0,-124.124,-65.8203,0,-65.8203,123.298,0,0,0,-0.272529
0.0875746,-0.762042,0,-260.645,-84.4561,0,-84.4561,145.991,0,0,0,-37.8356
0.0873253,-0.80862,0,-458.456,-120.048,0,-120.048,169.432,0,0,0,-95.378
0.0864354,-0.860238,0,-703.323,-166.156,0,-166.156,203.723,0,0,0,-164.868
0.0830281,-0.918014,0,-1171.35,-295.942,0,-295.942,210.07,0,0,0,-317.222
0.0790488,-0.983509,0,-1579.86,-424.154,0,-424.154,308.62,0,0,0,-419.51
0.0630955,-1.05717,0,-3090.04,-1186.49,0,-1186.49,-174.286,0,0,0,-1077.23
0.0548832,-1.13583,0,-3099.52,-1317.68,0,-1317.68,-113.967,0,0,0,-1060.45
-0.0473289,-1.28779,0,-6719.55,-4203.03,0,-4203.03,-9898.55,0,0,0,-5483.97
0.0095731,-1.32914,0,-2742.74,-1372.71,0,-1372.71,-4370.94,0,0,0,-2347.51
0.0111204,-1.36356,0,-2441.73,-1384.88,0,-1384.88,479.131,0,0,0,-647.659
0.0175435,-1.45081,0,-3071.54,-2350.86,0,-2350.86,139.79,0,0,0,-967.478
-0.184974,-1.6037,0,-3129.95,-9967.71,0,-9967.71,-6525.14,0,0,0,-3186.18
0.00570473,-1.81616,0,-7855.47,-2084.78,0,-2084.78,-22905.5,0,0,0,-10151.1
0.000397632,-1.8199,0,-3470.22,-700.221,0,-700.221,-14881.2,0,0,0,-6055.96
0.00113808,-1.82296,0,-4886.13,194.408,0,194.408,-12410.7,0,0,0,-5707.94
-0.000866647,-1.82359,0,-4441.01,-0.172038,0,-0.172038,-11198.7,0,0,0,-5161.11
-0.00287148,-1.82296,0,-4886.21,-194.748,0,-194.748,-12411,0,0,0,-5708.09
-0.00213083,-1.8199,0,-3470.33,700.025,0,700.025,-14882,0,0,0,-6056.28
-0.00743796,-1.81616,0,-7855.97,2084.68,0,2084.68,-22907.2,0,0,0,-10151.9
0.183253,-1.60367,0,-3129.08,9968.04,0,9968.04,-6523.75,0,0,0,-3185.44
-0.0192704,-1.45079,0,-3071.58,2350.65,0,2350.65,139.821,0,0,0,-967.48
-0.012844,-1.36352,0,-2441.2,1384.69,0,1384.69,479.445,0,0,0,-647.378
-0.0113061,-1.32914,0,-2744.56,1372.5,0,1372.5,-4375.61,0,0,0,-2349.66
0.0456376,-1.28775,0,-6720.49,4204.73,0,4204.73,-9900.27,0,0,0,-5484.85
-0.056618,-1.13576,0,-3100.39,1318.1,0,1318.1,-114.083,0,0,0,-1060.78
-0.0648327,-1.05708,0,-3091.18,1186.81,0,1186.81,-174.455,0,0,0,-1077.66
-0.0807923,-0.983398,0,-1580.42,424.267,0,424.267,308.654,0,0,0,-419.684
-0.0847741,-0.917884,0,-1171.83,296.022,0,296.022,210.085,0,0,0,-317.377
-0.088184,-0.860089,0,-703.694,166.198,0,166.198,203.744,0,0,0,-164.984
-0.0890757,-0.808452,0,-458.769,120.079,0,120.079,169.447,0,0,0,-95.4764
-0.0893267,-0.761857,0,-260.908,84.479,0,84.479,146.004,0,0,0,-37.9182
-0.0887515,-0.719339,0,-124.352,65.8396,0,65.8396,123.307,0,0,0,-0.345025
-0.0876888,-0.680262,0,-12.3842,52.3403,0,52.3403,106.704,0,0,0,31.1254
-0.0861814,-0.644107,0,75.4657,43.0721,0,43.0721,93.0116,0,0,0,55.5975
-0.0843317,-0.610494,0,147.951,35.8902,0,35.8902,82.2108,0,0,0,75.9534
-0.0821875,-0.579114,0,207.745,30.3198,0,30.3198,73.3554,0,0,0,92.7632
-0.0797999,-0.54972,0,257.837,25.7907,0,25.7907,66.0616,0,0,0,106.887
-0.077206,-0.52211,0,299.9,22.0672,0,22.0672,59.9256,0,0,0,118.742
-0.074439,-0.496114,0,335.416,18.948,0,18.948,54.7134,0,0,0,128.743
-0.0715262,-0.471587,0,365.435,16.3085,0,16.3085,50.2291,0,0,0,137.169
-0.0684912,-0.448407,0,390.821,14.0507,0,14.0507,46.3353,0,0,0,144.262
-0.0653544,-0.426466,0,412.252,12.1036,0,12.1036,42.924,0,0,0,150.208
-0.0621333,-0.405672,0,430.284,10.4113,0,10.4113,39.9133,0,0,0,155.165
-0.0588436,-0.38594,0,445.371,8.9305,0,8.9305,37.2379,0,0,0,159.261
-0.0554986,-0.3672,0,457.891,7.62658,0,7.62658,34.8463,0,0,0,162.603
-0.0521102,-0.349384,0,468.16,6.47185,0,6.47185,32.6963,0,0,0,165.282
-0.0486892,-0.332436,0,476.441,5.44381,0,5.44381,30.754,0,0,0,167.374
-0.0452449,-0.316301,0,482.962,4.52409,0,4.52409,28.991,0,0,0,168.944
-0.0417858,-0.300933,0,487.913,3.69756,0,3.69756,27.3839,0,0,0,170.048
-0.0383194,-0.286288,0,491.461,2.95167,0,2.95167,25.9131,0,0,0,170.733
-0.0348525,-0.272326,0,493.748,2.27596,0,2.27596,24.5619,0,0,0,171.042
-0.0313915,-0.25901,0,494.898,1.66161,0,1.66161,23.3162,0,0,0,171.011
-0.0279418,-0.246307,0,495.018,1.1012,0,1.1012,22.1639,0,0,0,170.67
-0.0245086,-0.234187,0,494.205,0.588416,0,0.588416,21.0947,0,0,0,170.049
-0.0210966,-0.222619,0,492.542,0.117864,0,0.117864,20.0995,0,0,0,169.172
-0.0177101,-0.211579,0,490.102,-0.31508,0,-0.31508,19.1706,0,0,0,168.06
-0.014353,-0.20104,0,486.951,-0.714403,0,-0.714403,18.3013,0,0,0,166.733
-0.0110289,-0.190979,0,483.147,-1.08356,0,-1.08356,17.4856,0,0,0,165.209
-0.00774109,-0.181376,0,478.744,-1.42555,0,-1.42555,16.7182,0,0,0,163.502
-0.00449275,-0.172208,0,473.788,-1.74301,0,-1.74301,15.9946,0,0,0,161.628
-0.00128669,-0.163457,0,468.32,-2.03822,0,-2.03822,15.3107,0,0,0,159.598
0.00187443,-0.155105,0,462.381,-2.31321,0,-2.31321,14.6629,0,0,0,157.424
0.00498815,-0.147135,0,456.003,-2.56978,0,-2.56978,14.0479,0,0,0,155.117
0.00805219,-0.13953,0,449.219,-2.80949,0,-2.80949,13.4629,0,0,0,152.685
0.0110644,-0.132274,0,442.058,-3.03375,0,-3.03375,12.9053,0,0,0,150.138
0.0140228,-0.125354,0,434.544,-3.24381,0,-3.24381,12.3727,0,0,0,147.483
0.0169256,-0.118754,0,426.703,-3.44078,0,-3.44078,11.8631,0,0,0,144.727
0.0197709,-0.112461,0,418.556,-3.62566,0,-3.62566,11.3745,0,0,0,141.877
0.0225573,-0.106464,0,410.123,-3.79932,0,-3.79932,10.9052,0,0,0,138.939
0.025283,-0.100748,0,401.423,-3.96255,0,-3.96255,10.4536,0,0,0,135.919
0.0279468,-0.0953025,0,392.474,-4.11605,0,-4.11605,10.0183,0,0,0,132.822
0.0305472,-0.0901159,0,383.291,-4.26045,0,-4.26045,9.59799,0,0,0,129.653
0.0330831,-0.0851771,0,373.889,-4.39629,0,-4.39629,9.19139,0,0,0,126.417
0.0355532,-0.0804755,0,364.283,-4.52404,0,-4.52404,8.7974,0,0,0,123.117
0.0379564,-0.0760007,0,354.486,-4.64411,0,-4.64411,8.41499,0,0,0,119.757
0.0402917,-0.0717428,0,344.509,-4.75686,0,-4.75686,8.04318,0,0,0,116.342
0.0425582,-0.067692,0,334.366,-4.86258,0,-4.86258,7.68108,0,0,0,112.876
0.0447548,-0.0638389,0,324.068,-4.96148,0,-4.96148,7.32784,0,0,0,109.361
0.0468808,-0.0601743,0,313.625,-5.05375,0,-5.05375,6.9827,0,0,0,105.801
0.0489353,-0.0566892,0,303.049,-5.13948,0,-5.13948,6.64492,0,0,0,102.199
0.0509177,-0.0533748,0,292.351,-5.21873,0,-5.21873,6.31382,0,0,0,98.5594
0.0528273,-0.0502224,0,281.541,-5.29149,0,-5.29149,5.98875,0,0,0,94.8849
0.0546635,-0.0472237,0,270.63,-5.35769,0,-5.35769,5.66913,0,0,0,91.1788
0.0564256,-0.0443702,0,259.63,-5.41717,0,-5.41717,5.3544,0,0,0,87.4448
0.0581134,-0.0416539,0,248.551,-5.46973,0,-5.46973,5.04404,0,0,0,83.6864
0.0597263,-0.0390666,0,237.406,-5.5151,0,-5.5151,4.73758,0,0,0,79.9074
0.0612639,-0.0366004,0,226.207,-5.5529,0,-5.5529,4.43458,0,0,0,76.1119
0.0627262,-0.0342474,0,214.968,-5.58269,0,-5.58269,4.13466,0,0,0,72.304
0.0641127,-0.0319998,0,203.703,-5.60396,0,-5.60396,3.83746,0,0,0,68.4884
0.0654236,-0.0298499,0,192.427,-5.61608,0,-5.61608,3.5427,0,0,0,64.6701
0.0666588,-0.0277899,0,181.157,-5.61834,0,-5.61834,3.25014,0,0,0,60.8545
0.0678183,-0.0258122,0,169.912,-5.6099,0,-5.6099,2.95961,0,0,0,57.0475
0.0689026,-0.0239092,0,158.71,-5.58984,0,-5.58984,2.67099,0,0,0,53.2557
0.0699118,-0.0220734,0,147.574,-5.55711,0,-5.55711,2.38427,0,0,0,49.4861
0.0708466,-0.0202972,0,136.527,-5.5105,0,-5.5105,2.09953,0,0,0,45.7468
0.0717075,-0.0185732,0,125.597,-5.4487,0,-5.4487,1.81696,0,0,0,42.0464
0.0724956,-0.0168938,0,114.811,-5.37024,0,-5.37024,1.53687,0,0,0,38.3947
0.0732117,-0.0152517,0,104.201,-5.27349,0,-5.27349,1.25976,0,0,0,34.8022
0.0738573,-0.0136395,0,93.8039,-5.15665,0,-5.15665,0.986307,0,0,0,31.2808
0.0744337,-0.0120499,0,83.6569,-5.01775,0,-5.01775,0.717415,0,0,0,27.8435
0.0749429,-0.0104758,0,73.803,-4.85463,0,-4.85463,0.454287,0,0,0,24.5049
0.0753868,-0.00890987,0,64.289,-4.66498,0,-4.66498,0.198475,0,0,0,21.2809
