Silling_buxiuzheng,,,,,,ANSYS,,,Wan_buxiuzheng,,,,,,,,,,,,Zhang_buxiuzheng,,,,
Points_0,Points_1,Points_2,Temperature,,,,,,Points_0,Points_1,Points_2,,Temperature,,Points_0,Points_1,Points_2,,Temperature,,Points_0,Points_1,Points_2,,Temperature
0,-9.94554,0,0.333382,15.05446,0.333382,15,4.39E-01,,0,-9.94554,0,15.05446,0.335096,,0,-9.94554,0,15.05446,0.514817,,0,-10.047,0,14.953,0.329141
0,-9.4604,0,0.363527,15.5396,0.363527,15.5,4.73E-01,,0,-9.4604,0,15.5396,0.365412,,0,-9.4604,0,15.5396,0.554814,,0,-9.55693,0,15.44307,0.359268
0,-8.97525,0,0.396107,16.02475,0.396107,16,5.09E-01,,0,-8.97525,0,16.02475,0.398179,,0,-8.97525,0,16.02475,0.59758,,0,-9.06683,0,15.93317,0.391861
0,-8.4901,0,0.431289,16.5099,0.431289,16.5,5.49E-01,,0,-8.4901,0,16.5099,0.433562,,0,-8.4901,0,16.5099,0.643273,,0,-8.57673,0,16.42327,0.42709
0,-8.00495,0,0.469247,16.99505,0.469247,17,5.91E-01,,0,-8.00495,0,16.99505,0.471738,,0,-8.00495,0,16.99505,0.692054,,0,-8.08663,0,16.91337,0.465135
0,-7.5198,0,0.510165,17.4802,0.510165,17.5,6.36E-01,,0,-7.5198,0,17.4802,0.512891,,0,-7.5198,0,17.4802,0.744093,,0,-7.59653,0,17.40347,0.506186
0,-7.03465,0,0.554236,17.96535,0.554236,18,6.85E-01,,0,-7.03465,0,17.96535,0.557216,,0,-7.03465,0,17.96535,0.799565,,0,-7.10644,0,17.89356,0.55044
0,-6.5495,0,0.601664,18.4505,0.601664,18.5,7.37E-01,,0,-6.5495,0,18.4505,0.604916,,0,-6.5495,0,18.4505,0.858654,,0,-6.61634,0,18.38366,0.598108
0,-6.06436,0,0.65266,18.93564,0.65266,19,7.93E-01,,0,-6.06436,0,18.93564,0.656206,,0,-6.06436,0,18.93564,0.921549,,0,-6.12624,0,18.87376,0.649408
0,-5.57921,0,0.707449,19.42079,0.707449,19.5,8.52E-01,,0,-5.57921,0,19.42079,0.711309,,0,-5.57921,0,19.42079,0.988447,,0,-5.63614,0,19.36386,0.704571
0,-5.09406,0,0.766262,19.90594,0.766262,20,9.16E-01,,0,-5.09406,0,19.90594,0.77046,,0,-5.09406,0,19.90594,1.05955,,0,-5.14604,0,19.85396,0.763835
0,-4.60891,0,0.829344,20.39109,0.829344,20.5,9.84E-01,,0,-4.60891,0,20.39109,0.833904,,0,-4.60891,0,20.39109,1.13508,,0,-4.65594,0,20.34406,0.827454
0,-4.12376,0,0.896948,20.87624,0.896948,21,1.06E+00,,0,-4.12376,0,20.87624,0.901896,,0,-4.12376,0,20.87624,1.21524,,0,-4.16584,0,20.83416,0.89569
0,-3.63861,0,0.96934,21.36139,0.96934,21.5,1.13E+00,,0,-3.63861,0,21.36139,0.974702,,0,-3.63861,0,21.36139,1.30026,,0,-3.67574,0,21.32426,0.968816
0,-3.15347,0,1.04679,21.84653,1.04679,22,1.22E+00,,0,-3.15347,0,21.84653,1.0526,,0,-3.15347,0,21.84653,1.39038,,0,-3.18564,0,21.81436,1.04712
0,-2.66832,0,1.1296,22.33168,1.1296,22.5,1.30E+00,,0,-2.66832,0,22.33168,1.13587,,0,-2.66832,0,22.33168,1.48583,,0,-2.69554,0,22.30446,1.13089
0,-2.18317,0,1.21805,22.81683,1.21805,23,1.40E+00,,0,-2.18317,0,22.81683,1.22483,,0,-2.18317,0,22.81683,1.58686,,0,-2.20545,0,22.79455,1.22045
0,-1.69802,0,1.31246,23.30198,1.31246,23.5,1.50E+00,,0,-1.69802,0,23.30198,1.31977,,0,-1.69802,0,23.30198,1.69372,,0,-1.71535,0,23.28465,1.3161
0,-1.21287,0,1.41314,23.78713,1.41314,24,1.61E+00,,0,-1.21287,0,23.78713,1.42102,,0,-1.21287,0,23.78713,1.80667,,0,-1.22525,0,23.77475,1.41818
0,-0.727723,0,1.52043,24.272277,1.52043,24.5,1.72E+00,,0,-0.727723,0,24.272277,1.52892,,0,-0.727723,0,24.272277,1.92599,,0,-0.735148,0,24.264852,1.52704
0,-0.242574,0,1.63467,24.757426,1.63467,25,1.84E+00,,0,-0.242574,0,24.757426,1.6438,,0,-0.242574,0,24.757426,2.05194,,0,-0.24505,0,24.75495,1.64303
0,0.242574,0,1.75633,25.242574,1.75633,25.5,1.97E+00,,0,0.242574,0,25.242574,1.76613,,0,0.242574,0,25.242574,2.18491,,0,0.24505,0,25.24505,1.76659
0,0.727723,0,1.8858,25.727723,1.8858,26,2.10E+00,,0,0.727723,0,25.727723,1.89632,,0,0.727723,0,25.727723,2.3252,,0,0.735148,0,25.735148,1.89812
0,1.21287,0,2.02333,26.21287,2.02333,26.5,2.25E+00,,0,1.21287,0,26.21287,2.03461,,0,1.21287,0,26.21287,2.47301,,0,1.22525,0,26.22525,2.03792
0,1.69802,0,2.1693,26.69802,2.1693,27,2.40E+00,,0,1.69802,0,26.69802,2.18139,,0,1.69802,0,26.69802,2.62862,,0,1.71535,0,26.71535,2.1864
0,2.18317,0,2.32413,27.18317,2.32413,27.5,2.56E+00,,0,2.18317,0,27.18317,2.33706,,0,2.18317,0,27.18317,2.79233,,0,2.20545,0,27.20545,2.34397
0,2.66832,0,2.4882,27.66832,2.4882,28,2.73E+00,,0,2.66832,0,27.66832,2.50203,,0,2.66832,0,27.66832,2.96446,,0,2.69554,0,27.69554,2.51104
0,3.15347,0,2.66194,28.15347,2.66194,28.5,2.91E+00,,0,3.15347,0,28.15347,2.67671,,0,3.15347,0,28.15347,3.14532,,0,3.18564,0,28.18564,2.68805
0,3.63861,0,2.84577,28.63861,2.84577,29,3.10E+00,,0,3.63861,0,28.63861,2.86152,,0,3.63861,0,28.63861,3.33523,,0,3.67574,0,28.67574,2.87544
0,4.12376,0,3.04012,29.12376,3.04012,29.5,3.31E+00,,0,4.12376,0,29.12376,3.05692,,0,4.12376,0,29.12376,3.5345,,0,4.16584,0,29.16584,3.07366
0,4.60891,0,3.24543,29.60891,3.24543,30,3.52E+00,,0,4.60891,0,29.60891,3.26332,,0,4.60891,0,29.60891,3.74345,,0,4.65594,0,29.65594,3.28316
0,5.09406,0,3.46216,30.09406,3.46216,30.5,3.75E+00,,0,5.09406,0,30.09406,3.4812,,0,5.09406,0,30.09406,3.96243,,0,5.14604,0,30.14604,3.50441
0,5.57921,0,3.69076,30.57921,3.69076,31,3.99E+00,,0,5.57921,0,30.57921,3.71099,,0,5.57921,0,30.57921,4.19176,,0,5.63614,0,30.63614,3.73788
0,6.06436,0,3.93168,31.06436,3.93168,31.5,4.24E+00,,0,6.06436,0,31.06436,3.95318,,0,6.06436,0,31.06436,4.43177,,0,6.12624,0,31.12624,3.98406
0,6.5495,0,4.18541,31.5495,4.18541,32,4.50E+00,,0,6.5495,0,31.5495,4.20822,,0,6.5495,0,31.5495,4.68279,,0,6.61634,0,31.61634,4.24343
0,7.03465,0,4.45242,32.03465,4.45242,32.5,4.78E+00,,0,7.03465,0,32.03465,4.4766,,0,7.03465,0,32.03465,4.94517,,0,7.10644,0,32.10644,4.51648
0,7.5198,0,4.73317,32.5198,4.73317,33,5.07E+00,,0,7.5198,0,32.5198,4.7588,,0,7.5198,0,32.5198,5.21924,,0,7.59653,0,32.59653,4.80371
0,8.00495,0,5.02817,33.00495,5.02817,33.5,5.38E+00,,0,8.00495,0,33.00495,5.05529,,0,8.00495,0,33.00495,5.50534,,0,8.08663,0,33.08663,5.10563
0,8.4901,0,5.33789,33.4901,5.33789,34,5.71E+00,,0,8.4901,0,33.4901,5.36657,,0,8.4901,0,33.4901,5.8038,,0,8.57673,0,33.57673,5.42272
0,8.97525,0,5.66282,33.97525,5.66282,34.5,6.05E+00,,0,8.97525,0,33.97525,5.69312,,0,8.97525,0,33.97525,6.11497,,0,9.06683,0,34.06683,5.75551
0,9.4604,0,6.00345,34.4604,6.00345,35,6.41E+00,,0,9.4604,0,34.4604,6.03544,,0,9.4604,0,34.4604,6.43918,,0,9.55693,0,34.55693,6.10449
0,9.94554,0,6.36027,34.94554,6.36027,35.5,6.78E+00,,0,9.94554,0,34.94554,6.39402,,0,9.94554,0,34.94554,6.77677,,0,10.047,0,35.047,6.47018
0,10.4307,0,6.73377,35.4307,6.73377,36,7.17E+00,,0,10.4307,0,35.4307,6.76935,,0,10.4307,0,35.4307,7.12806,,0,10.5371,0,35.5371,6.85308
0,10.9158,0,7.12444,35.9158,7.12444,36.5,7.59E+00,,0,10.9158,0,35.9158,7.16192,,0,10.9158,0,35.9158,7.49338,,0,11.0272,0,36.0272,7.2537
0,11.401,0,7.53277,36.401,7.53277,37,8.02E+00,,0,11.401,0,36.401,7.57221,,0,11.401,0,36.401,7.87307,,0,11.5173,0,36.5173,7.67253
0,11.8861,0,7.95924,36.8861,7.95924,37.5,8.47E+00,,0,11.8861,0,36.8861,8.00072,,0,11.8861,0,36.8861,8.26744,,0,12.0074,0,37.0074,8.11009
0,12.3713,0,8.40433,37.3713,8.40433,38,8.94E+00,,0,12.3713,0,37.3713,8.44791,,0,12.3713,0,37.3713,8.6768,,0,12.4975,0,37.4975,8.56686
0,12.8564,0,8.8685,37.8564,8.8685,38.5,9.43E+00,,0,12.8564,0,37.8564,8.91427,,0,12.8564,0,37.8564,9.10148,,0,12.9876,0,37.9876,9.04333
0,13.3416,0,9.35224,38.3416,9.35224,39,9.95E+00,,0,13.3416,0,38.3416,9.40025,,0,13.3416,0,38.3416,9.54177,,0,13.4777,0,38.4777,9.53998
0,13.8267,0,9.856,38.8267,9.856,39.5,1.05E+01,,0,13.8267,0,38.8267,9.90634,,0,13.8267,0,38.8267,9.99798,,0,13.9678,0,38.9678,10.0573
0,14.3119,0,10.3802,39.3119,10.3802,40,1.10E+01,,0,14.3119,0,39.3119,10.433,,0,14.3119,0,39.3119,10.4704,,0,14.4579,0,39.4579,10.5957
0,14.797,0,10.9254,39.797,10.9254,40.5,1.16E+01,,0,14.797,0,39.797,10.9806,,0,14.797,0,39.797,10.9593,,0,14.948,0,39.948,11.1557
0,15.2822,0,11.4918,40.2822,11.4918,41,1.22E+01,,0,15.2822,0,40.2822,11.5496,,0,15.2822,0,40.2822,11.465,,0,15.4381,0,40.4381,11.7377
0,15.7673,0,12.0801,40.7673,12.0801,41.5,1.29E+01,,0,15.7673,0,40.7673,12.1405,,0,15.7673,0,40.7673,11.9877,,0,15.9282,0,40.9282,12.3422
0,16.2525,0,12.6905,41.2525,12.6905,42,1.35E+01,,0,16.2525,0,41.2525,12.7536,,0,16.2525,0,41.2525,12.5277,,0,16.4183,0,41.4183,12.9695
0,16.7376,0,13.3241,41.7376,13.3241,42.5,1.42E+01,,0,16.7376,0,41.7376,13.3899,,0,16.7376,0,41.7376,13.0857,,0,16.9084,0,41.9084,13.62
0,17.2228,0,13.9807,42.2228,13.9807,43,1.49E+01,,0,17.2228,0,42.2228,14.0495,,0,17.2228,0,42.2228,13.6616,,0,17.3985,0,42.3985,14.2942
