Time,avg(Temperature),,ANSYS
0,0,,
1,1.03678,,1.24E+00
2,3.06034,,3.01E+00
3,5.04885,,4.86E+00
4,6.90372,,6.66E+00
5,8.6308,,8.36E+00
6,10.2477,,9.96E+00
7,11.7708,,1.15E+01
8,13.2137,,1.29E+01
9,14.5873,,1.43E+01
10,15.9003,,1.56E+01
